kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_sma,koi_insol,koi_depth,koi_duration,koi_incl,koi_steff,koi_srad,koi_smass,koi_kepmag,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_tce_delivname,dataspan,dutycycle,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0
3764411,K06357.01,FALSE POSITIVE,FALSE POSITIVE,4.4158933,1.42,0.0549,395.82,191.1,1.155,89.95,5977.0,1.022,1.133,15.417,10.34212,7.224046,5.8,246.0,q1_q17_dr24_tce,1459.789,0.6988,384.67,337.367,314.978,289.161,274.331,246.734,235.13,218.045,200.435,186.436,175.492,167.523,165.406,153.28
3659940,K06351.01,FALSE POSITIVE,FALSE POSITIVE,0.89627093,43.47,0.0172,2129.33,66994.0,2.2033,71.51,5551.0,0.861,0.842,15.261,23.696367,56.17832,152.9,1195.0,q1_q17_dr25_tce,1459.789,0.6989,946.774,1006.552,1110.585,1181.812,1261.303,1343.136,1356.504,1365.955,1342.633,1268.344,1194.64,1130.016,1110.884,980.38
9117416,K03425.01,CONFIRMED,CANDIDATE,20.034708,2.24,0.1557,207.16,124.4,6.49,89.53,6120.0,2.0,1.251,13.266,4.421295,16.491846,22.9,69.0,q1_q17_dr25_tce,1459.789,0.8753,92.389,82.214,77.696,72.054,68.923,63.276,60.964,57.6,54.21,51.776,50.517,49.557,49.337,48.451
3733638,K06353.01,CANDIDATE,CANDIDATE,10.0714369,1.98,0.098,814.46,49.5,6.891,89.97,5768.0,2.81,1.236,13.472,4.5318165,7.281437,10.8,136.0,q1_q17_dr25_tce,1459.789,0.8751,105.174,93.371,88.074,81.56,77.688,70.884,67.944,63.696,58.817,55.162,52.399,50.633,50.117,47.688
9117416,K03425.02,CONFIRMED,CANDIDATE,3.15722086,1.41,0.0454,2436.47,49.7,3.762,89.99,6120.0,2.0,1.251,13.266,3.736013,13.838663,17.4,410.0,q1_q17_dr25_tce,1459.789,0.8753,92.389,82.214,77.696,72.054,68.923,63.276,60.964,57.6,54.21,51.776,50.517,49.557,49.337,48.451
3755522,K05005.01,FALSE POSITIVE,FALSE POSITIVE,251.958533,1.4,0.7799,1.69,204.1,4.742,90.0,5870.0,0.985,0.994,12.289,7.2785254,11.905612,15.3,4.0,q1_q17_dr25_tce,1459.789,0.6988,66.978,59.965,57.235,53.804,51.681,47.952,46.432,44.202,41.821,39.895,38.54,37.833,37.691,37.034
3764714,K03963.01,FALSE POSITIVE,FALSE POSITIVE,6.63449721,85.25,0.078,2067.13,919.1,22.982,27.12,6487.0,2.817,1.439,12.842,6.501706,18.696188,160.1,165.0,q1_q17_dr25_tce,1459.789,0.6987,86.236,77.71,74.345,69.826,67.55,63.793,62.263,60.552,59.456,58.266,58.57,59.226,59.788,61.698
9117416,K03425.03,CANDIDATE,CANDIDATE,7.64370363,1.85,0.0819,748.7,70.9,2.738,86.67,6120.0,2.0,1.251,13.266,2.768338,8.173433,13.2,144.0,q1_q17_dr25_tce,1459.789,0.8753,92.389,82.214,77.696,72.054,68.923,63.276,60.964,57.6,54.21,51.776,50.517,49.557,49.337,48.451
3644399,K04997.01,FALSE POSITIVE,FALSE POSITIVE,119.669671,2.21,0.4918,6.88,421.9,20.67,89.55,6382.0,1.059,1.104,15.493,5.6294813,9.276943,14.2,11.0,q1_q17_dr25_tce,1459.789,0.8755,378.088,332.589,311.411,286.458,270.338,242.02,230.608,214.105,195.645,182.341,171.813,163.837,161.736,150.778
3655326,K06348.01,FALSE POSITIVE,FALSE POSITIVE,15.066491533,88.56,0.1206,177.96,106051.0,6.2852,87.26,5751.0,1.626,1.028,14.213,756.3163,3890.0283,893.0,73.0,q1_q17_dr25_tce,1459.789,0.6954,257.451,235.45,226.591,215.526,208.901,196.071,188.792,182.037,173.569,166.576,162.312,158.66,157.699,152.456
3655332,K01179.01,FALSE POSITIVE,FALSE POSITIVE,15.06649901,56.44,0.1206,177.96,36348.0,5.9885,86.38,5751.0,1.626,1.028,13.855,460.65634,1413.7612,154.6,73.0,q1_q17_dr25_tce,1459.789,0.6978,175.747,161.209,156.898,148.457,143.007,132.339,128.276,121.515,114.603,109.888,107.145,103.997,103.243,98.341
